fuente,id_origen,comprador,objeto,tipo,fecha_publicacion,fecha_apertura,estado,categoria_zona,es_ruido,keywords,url,fragmento,primera_vez_visto,vista_ultima_corrida,ultima_vez_visto
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11696/contents/2134258,Bahia Blanca,Decreto Nº3400 en el boletín 381º de Bahia Blanca,,19/11/2024,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/11696/contents/2134258,"Visto las presentes actuaciones referidas a la provisión de cubiertas T696, T620, T359, A498, T621, K641, T115, T750, T738, T563, T565, T441, W015, W024, servicio de alineación y balanceo, llanta y válvula W024 ...",2024-11-19,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11636/contents/2130730,Bahia Blanca,Resolución Nº141 en el boletín 376º de Bahia Blanca,,06/11/2024,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/11636/contents/2130730,"; Paula entra en un estado de shock, de llanto de desesperación. Ahí me llaman a mí, intervengo, le pido por favor al policía, ya no sabía cómo hacer para que se lo lleven, el policía le pide por favor al muchacho que se retire, le dice ""no me voy ... […] años la que me llamó y me dijo papa veni urgente a la puerta que esta Paula en un ataque de llanto y esta este muchacho violento…"".- Se agrega a fs. 108, la declaración del agente Cristian Andrés Maillet, legajo 13559, quien se presenta ...",2024-11-06,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11634/contents/2129754,General Pueyrredon,Resolución Nº0520/24 en el boletín 683º de General Pueyrredon,,06/11/2024,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/11634/contents/2129754,"CORRESPONDE A SECRETARIA LEGAL, TECNICA Y DE HACIENDA SE INFORMA QUE EL TEXTO COMPLETO EN PDF SE ENCUENTRA COMO ANEXO DEL PRESENTE Aprobar el Concurso de Precios Nº 99/24 para la “Adquisición de baterías para UPS con destino Secretaría de Seguridad” ...",2024-11-06,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11507/contents/2124082,Chacabuco,Ordenanza Nº10299 en el boletín 87º de Chacabuco,,30/10/2024,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/11507/contents/2124082,"VISTO: La necesidad de darle un correcto procesamiento a las pilas y baterías que hayan llegado al fin de su vida útil ... […] : -Que las pilas y baterías al no ser correctamente desechadas resultan extremadamente contaminantes para el suelo y el agua ... […] .- -Que, los sitios para depositar las pilas o baterías usadas son reducidos y esto desalienta al correcto descarte de las mismas ...",2024-10-30,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11555/contents/2125555,Bahia Blanca,Resolución Nº345 en el boletín 370º de Bahia Blanca,,24/10/2024,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/11555/contents/2125555,"se me mete en una alcantarilla que esta hundida, se me detiene el vehículo, cuando bajo a ver que era, ahí mismo me di cuenta que se le había hecho una teta a la rueda, doblo la llanta , me fui a una gomería para saber que pasó y si había pinchado, el gomero ... […] que fuera ofrecida, Sra. Geraldine Aldana Blanchini. Al respecto expresamente refirió: ""... doblamos en calle 9 de julio y Vérez, y al estar la tapa del desagote profunda y agarrarla con el vehículo rompimos el neumático y la llanta ...",2024-10-24,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11354/contents/2120441,Coronel Rosales,Decreto Nº66 en el boletín 44º de Coronel Rosales,,17/10/2024,,,volumen_alto,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/11354/contents/2120441,"Que es importante reconocer y visibilizar la labor de aquellos que contribuyen al desarrollo económico local; Que la Cámara de Almaceneros, Minimercados, Autoservicios, Rotiserías ... […] y capacidad de gestión al asumir la presidencia de la Cámara de Almaceneros a nivel nacional, donde representa a más de 60.000 (Sesenta Mil) almaceneros de todo el país; Que es fundamental reconocer y estimular la labor de aquellos que se destacan en la defensa de los intereses de los sectores productivos locales; ... […] La destacada trayectoria de la Cámara de Almaceneros de Coronel Rosales en la promoción ",2024-10-17,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11510/contents/2122741,Bahia Blanca,Decreto Nº3095 en el boletín 367º de Bahia Blanca,,15/10/2024,,,volumen_alto,no,"neumatico,neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/11510/contents/2122741,") firmas invitadas a cotizar, según consta en los certificados de notificación obrantes de fojas 33 a 35; Que a fojas 40 obra el Acta de Apertura en la que se presentaron las ofertas de los proveedores: ALVAREZ NEUMATICOS , total ... […] de la oferta económica $26.590.000; y PAREDES ALBERTO JESUS, total de la oferta económica $30.147.254; Que a fojas 44/45 el Departamento Talleres y Maestranza sugiere adjudicar al proveedor ALVAREZ NEUMATICOS la totalidad de los ítems considerando ... […] las especificaciones técnicas solicitadas y la propuesta más económica; Que a fojas 52 el Departamento Com",2024-10-15,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11383/contents/2118728,Chivilcoy,Decreto Nº1384 en el boletín 95º de Chivilcoy,,15/10/2024,,,volumen_alto,no,protector de neumaticos,https://sibom.slyt.gba.gob.ar/bulletins/11383/contents/2118728,"el informe de la Secretaría de Hacienda de la Municipalidad de Chivilcoy ... […] el expediente Nº 4031-253990/24 iniciado por la presidente interina de la Asociación Civil Protectora San Roque Chivilcoy, y ... […] Subsidio a Asociación Civil Protectora San Roque Chivilcoy ...",2024-10-15,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11476/contents/2118968,Zárate,Resolución Nº157/24 en el boletín 41º de Zárate,,04/10/2024,,,objetivo,no,"bateria,baterias,cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/11476/contents/2118968,"El expediente Nº 4121-4486/2017, por el que el Sr. García, Gustavo Adolfo, solicita autorización para habilitar el comercio de Rubro: “Venta al por menor de partes, piezas y accesorios excepto cámaras, cubiertas ... […] y baterías, Actividad Secundaria: Venta al por menor de cámaras y cubiertas ”, situado en Calle Avda. Antártida Argentina Nº 2086, de la ciudad de Zárate, atento a lo informado por la Dirección General de Ingresos Públicos (fs. 47) Legajo Nº 18.548 ... […] 1º) Autorizar la habilitación del comercio Rubro: “Venta al por menor de partes, piezas y accesorios excepto cámaras, cubie",2024-10-04,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11476/contents/2118961,Zárate,Resolución Nº156/24 en el boletín 41º de Zárate,,04/10/2024,,,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/11476/contents/2118961,"El expediente Nº 4121-505/2017, por el que la Firma; BATERIAS PARA TODOS S.R.L, Cuit: 30-71656512-9, solicita autorización para habilitar el comercio de Rubro: “Venta al por menor de Baterías ”, situado en Calle ... […] 1º) Autorizar la habilitación del comercio Rubro: “Venta al por menor de Baterías .”, situado en Calle Gral. Pinto Nº 1230, de la ciudad de Zárate ... […] , propiedad de la Firma: BATERIAS PARA TODOS S.R.L, Cuit: 30-71656512-9 quien se compromete a ajustarse a las disposiciones municipales, provinciales y nacionales correspondientes en vigencia ...",2024-10-04,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11419/contents/2114971,Lanús,Decreto Nº2781/2024 en el boletín 2º de Lanús,,25/09/2024,,,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/11419/contents/2114971,"EL INTENDENTE MUNICIPAL DECRETA: ARTÍCULO 1°.- Apruébese la Licitación Privada N° 69, Tercer Llamado, realizada el día 15 de agosto del año 2024, a las 10:00 hs., referente a la adquisición de “ BATERIAS ”, según las características determinadas en la Solicitud de Pedido N° 3- 207-173/2024. ...",2024-09-25,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11218/contents/2102444,La Plata,Decreto Nº0836/24 en el boletín 1253º de La Plata,,20/09/2024,,,objetivo,no,"neumatico,neumaticos,protector de neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/11218/contents/2102444,"Que la Secretaría de Seguridad solicita la adquisición de “ neumático 185/70 R 14 88T F-700 (40 unidades), neumático 235/70 R 16 1095 DESTINATION A/T O SIMILAR (12 unidades), neumático 80/90-21 R34 ... […] T58 (incluye cubierta y cámara) - (37 unidades) y neumático para auto 110/80 - 18 R34 XTZ (incluye cubierta y cámara) - (37 unidades), mediante solicitud de pedido N° 522/2024, obrante a fojas 9 ... […] ; Asimismo, la Secretaría Administrativa solicita la adquisición de “ neumático 165/70 R 13 797 PC50 MARCA PACE O SIMILAR (24 unidades), neumático 175/65 R 14 827 F-600 MARCA FIRESTONE O SIMI",2024-09-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11352/contents/2109526,Moreno,Ordenanza Nº7212/24 en el boletín 290º de Moreno,,20/09/2024,,,objetivo,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/11352/contents/2109526,"VISTO los Exptes. H.C.D. N° 35.853/2024 y el Expte. D.E. N° 260963-S-2024, sobre aceptación de donación de dos (2) cámaras Sony a6100 ILCE y dos (2) cámaras Canon EOS REBELT-7 1855 IS ... […] con sus respectivos lentes; y CONSIDERANDO que la firma Fe-Net Redes Inalámbricas S.R.L., representada en este acto por el Sr. Luis Alejandro Ibarra Socio Gerente, ha donado dos Cámaras Marca Sony A6100 ILCE y dos ... […] Cámaras Marca Canon EOS RebelT-7 1855 IS con sus respectivos lentes, a la Subsecretaría de Sistemas y Comunicaciones, dependiente de la Secretaría de Comunicación. QUE la Subsecretaría d",2024-09-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11287/contents/2107407,Mercedes,Decreto Nº1529/2024 en el boletín 82º de Mercedes,,16/09/2024,,adjudicada,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/11287/contents/2107407,"(cuarenta) cubiertas tipo 255/70R16 para stock y mantenimiento de vehículos dependientes de dicha área, en el marco del Concurso de Precios n° 53/2024. Que, habiéndose previsto como fecha de apertura de sobres ... […] Lo actuado en Expediente Administrativo Nº 5631/2024, caratulado “Concurso de Precios n° 53/2024 s/ la adquisición de cubiertas ”, y; ... […] centavos), la compra de cubiertas , según lo especificado en el pliego de bases y condiciones, específicamente ...",2024-09-16,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11258/contents/2102078,Bahia Blanca,Resolución Nº286 en el boletín 352º de Bahia Blanca,,03/09/2024,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/11258/contents/2102078,", cuando se mete mi rueda delantera derecha a una alcantarilla de la calzada, la cual daba la sensación de tener la tapa más adentro de lo normal ya que el auto dio un golpe en seco generándose una rajadura en la cubierta, una abolladura a la llanta ...",2024-09-03,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11248/contents/2101376,Coronel Pringles,Decreto Nº1087/24 en el boletín 214º de Coronel Pringles,,02/09/2024,,,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/11248/contents/2101376,"Que mediante Dto. Nº 0979/24 se llamó a Concurso de Precios N° 26/24 para la “Compra de Cubiertas para Vialidad Municipal”, con un Presupuesto Oficial de $17.551.810,00 destinada realizar la compra ... […] de cubiertas para maquinarias pesadas, camiones y camionetas, fijando el día 03 de julio de 2024 la apertura de propuestas, a las 10:00 horas Oficina de Compras y Suministros de la Municipalidad; Que se presentaron ... […] y el Jefe de Compras, Sr. Sofía Matías, deciden adjudicar parcialmente el Concurso de Precios N° 26/24 para la “Compra de Cubiertas para Vialidad Municipal” de la siguient",2024-09-02,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11248/contents/2101414,Coronel Pringles,Decreto Nº1091/24 en el boletín 214º de Coronel Pringles,,02/09/2024,,,volumen_alto,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/11248/contents/2101414,"Que a fs. 1 solicita la baja de dicho comercio a partir del 03/06/24; Que a fs. 3 luce informe del área de Recaudación, manifestando que el requirente no adeuda importe alguno ... […] el Expediente 1.520/24, mediante el cual la Sra. ZOCCHI NOELÍA comunica el cese de actividades del comercio habilitado en el rubro “ GOMERÍA ” , propiedad del Sr. Hugo Emilio Zocchi, fallecido el día 29/06/24, ubicado en BELGRANO (48) N° 294 de esta localidad; y ... […] en el rubro “ GOMERÍA ” , ubicado en la calle BELGRANO (48) N° 294 de esta localidad , propiedad del Sr. ZOCCHI HUGO EMILIO, fallecido el día 29/",2024-09-02,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11224/contents/2098812,Coronel Dorrego,Decreto Nº1417/2024 en el boletín 141º de Coronel Dorrego,,02/09/2024,,adjudicada,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/11224/contents/2098812,".A. 1 Monitor uso hospitalario – tipo multiparamétrico idioma español – modo adulto, pediátrico y neonatológico –con batería de litio autonomía de 5 hs. – fusión de análisis variabilidad del ritmo cardíaco ... […] y neonatológico con batería de litio 5 hs de autonomía con modulo de capnografía para este tipo de monitor ... […] El Concurso de Precios N° 53/2024 formalizado en el día de la fecha, a fin de proceder a realizar la adquisición de dos Monitores tipo Multiparamétrico para el Centro de Emergencias del Hospital Municipal de Coronel Dorrego ...",2024-09-02,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11119/contents/2096741,Bragado,Decreto Nº884 en el boletín 146º de Bragado,,28/08/2024,,,volumen_alto,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/11119/contents/2096741,"VISTO: Que es necesario proceder al llamado a Licitación Privada Nº 25/2024 referente a la adquisición de tres (3) camionetas usadas en buen estado, motor diésel con aire y dirección hidráulica para ser utilizadas en diferentes áreas de la municipalidad de Bragado; y, ... […] VISTO: Que es necesario proceder al llamado a Licitación Privada Nº 25/2024 referente a la adquisición de tres (3) camionetas usadas en buen estado, motor diésel con aire y dirección hidráulica para ser utilizadas en diferentes áreas de la municipalidad de Bragado; y, ... […] ARTICULO 1º: LLAMAR a Licitación Privada Nº 25",2024-08-28,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11051/contents/2092898,Mercedes,Decreto Nº1312/2024 en el boletín 81º de Mercedes,,26/08/2024,,,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/11051/contents/2092898,"el cual se otorga a la Municipalidad de Mercedes la financiación para la ejecución de la obra ""IMPERMEABILIZACION DE CUBIERTA DE EDIFICIO PROYECTO FABRICA DE IDEAS (EX – DUPONT ... […] La ejecución de la obra ""IMPERMEABILIZACION DE CUBIERTA DE EDIFICIO PROYECTO FABRICA DE IDEAS (EX – DUPONT).” y ... […] Artículo 1º.- Extiéndase el plazo de finalización de la obra en ejecución ""IMPERMEABILIZACION DE CUBIERTA DE EDIFICIO PROYECTO FABRICA DE IDEAS (EX – DUPONT)” al de 31 de julio de 2024. Artículo 2º.- Cúmplase, regístrese y archívese ...",2024-08-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11130/contents/2092745,Coronel Suárez,Decreto Nº1629/2024 en el boletín 141º de Coronel Suárez,,26/08/2024,,,volumen_alto,no,"camara de aire,llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/11130/contents/2092745,"Que es necesaria su adquisición, a través de un Concurso de Precios, según lo establece la Ley Orgánica Municipal ... […] la necesidad de adquirir Neumáticos para vehículos el Corralón Municipal de Huanguelén, dependiente de Secretaría de Servicios Públicos ... […] ) - - - - - Cubiertas y Cámara de aire y ocho (08) Llantas p/Automotor y Equipo Vial para Corralón Municipal de Huanguelén, dependiente de Secretaría de Servicios Públicos, costo total estimado $ 6.880 ...",2024-08-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11130/contents/2095794,Coronel Suárez,Decreto Nº1775/2024 en el boletín 141º de Coronel Suárez,,26/08/2024,,,volumen_alto,no,"camara de aire,llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/11130/contents/2095794,"Que conforme Acta de Apertura de fecha 12 de julio 2024, surge que en el mismo cotizó una Firma: BEMEC TIRES TRADING SA, efectuándose el correspondiente análisis, según consta en la documentación adjunta ... […] el Concurso de Precios nº 119/2024 realizado en el Expediente de referencia, para la adquisición de NEUMATICOS para el Corralón Municipal de Huanguelen, dependiente de Secretaría de Servicios Públicos ... […] ART.1º : Adjudícase el Concurso de Precios nº 119/2024 para la adquisición de - - - - - (08) CUBIERTAS Y CAMARAS de Aire y (08) LLANTAS P/Automotor y Equipo Vial del Corralón Muni",2024-08-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/10891/contents/2098132,Coronel Dorrego,Decreto Nº1382/2024 en el boletín 140º de Coronel Dorrego,,26/08/2024,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/10891/contents/2098132,"Que el Jefe de Compras ha manifestado la necesidad de llevar a cabo la adquisición de monitores para uso en el Centro de Emergencias del Hospital Municipal ... […] : 1 Monitor uso hospitalario – tipo multiparametrico idioma español – modo adulto, pediátrico y neonatologico –con batería de litio autonomía de 5 hs. – fusión de análisis variabilidad del ritmo cardiaco ... […] .- 1 Monitor uso hospitalario- tipo monitor multiparametrico idioma español- modo adulto, pediátrico y neonato lógico con batería de litio 5 hs de autonomía con modulo de capnografía para este tipo de monitor ...",2024-08-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11155/contents/2096392,Coronel Pringles,Decreto Nº0979/24 en el boletín 212º de Coronel Pringles,,23/08/2024,,,volumen_alto,no,"cubierta,cubiertas,recapado",https://sibom.slyt.gba.gob.ar/bulletins/11155/contents/2096392,"Que mediante el mismo solicita autorización para realizar la compra de cubiertas para maquinarias pesadas, camiones y camionetas: 2 (dos) cubiertas de motoniveladora 13.00-24 ... […] – 14.00-24 – 33.25-29 6 (seis) cubiertas camión lisa 295/80/22.5 6 (seis) cubiertas camión lisa 275/80/22.5 6 (seis) cubiertas camión ... […] radial 275/80/22.5 - 4 (cuatro) cubiertas camioneta 185/65/14 - 275/80/22.5 y 295/80/22.5 Con índice de carga entre 149 ...",2024-08-23,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11173/contents/2095619,Tapalqué,Decreto Nº0311 en el boletín 96º de Tapalqué,,20/08/2024,,adjudicada,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/11173/contents/2095619,"VISTO : El llamado a licitación privada N° 4 para la adquisición de cubiertas para parque vial del corralón y planta de tratamiento RSU, primera etapa, que se tramita mediante expediente N° 4111-055/24, para el día 17 ... […] ARTÍCULO 1°: Adjudicase la Licitación privada N° 4 para la adquisición de cubiertas para parque vial del corralón y planta de tratamiento RSU, primera etapa, que se tramita mediante expediente N ... […] 10 CUBIERTA P ...",2024-08-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11173/contents/2095542,Tapalqué,Decreto Nº0292 en el boletín 96º de Tapalqué,,20/08/2024,,adjudicada,volumen_alto,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/11173/contents/2095542,"VISTO : El llamado a concurso de precios N° 26 para la adquisición de “Sistema de aire acondicionado y demás artículos para combi eléctrica”, que se tramita mediante Expte N° 4111-060/24 para el día 8 de mayo de 2024 ... […] ARTÍCULO 1°: Adjudicase el Concurso de Precios N° 26 para la adquisición de “Sistema de aire acondicionado y demás artículos para combi eléctrica ... […] REPUESTO P/ AIRE ACONDICIONADO – SISTEMA AIRE ACOND., RADIADOR, MANGUERAS, MATERIALES ELÉCTRICOS Y SOFTWARE ...",2024-08-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11150/contents/2095654,Tandil,Decreto Nº2534/2024 en el boletín 247º de Tandil,,19/08/2024,,adjudicada,volumen_alto,no,"neumatico,neumaticos,protector de neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/11150/contents/2095654,", cotizando cinco (5) de los proveedores invitados, Tienda Techno S.A.S.,Trackmar S.A.C.I., Eligom S.A., Jelpamar S.A. y Larocca Neumáticos S.A. Que evaluadas las ofertas presentadas, la Dirección de Compras y Suministros ... […] mediante PV-2024-00196812- MUNITAN-DCS#SEA, sugiere la adjudicación a las firmas Tienda Techno S.A.S., por el monto de $5.520.000,00 y a la firma Larocca Neumáticos S.A., en la suma de $13.424.342,00, que resulta ser superior en un 0,14 ... […] El Concurso de Precios Nº 96-03-24 “Adquisición de neumáticos para carga y transporte – Vialidad/Servicios”, con un Presupues",2024-08-19,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/10966/contents/2085545,Brandsen,Decreto Nº1198 en el boletín 209º de Brandsen,,02/08/2024,,,objetivo,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/10966/contents/2085545,"Ordenanza de Habilitaciones en Categoría 2 (DOS) por tratarse del rubro “ GOMERIA ” habiendo cumplido con los requisitos solicitados por la normativa vigente. Gírese las presentes actuaciones a la Dirección de Despacho y Digesto de la Municipalidad de Brandsen ... […] 27.824.720 solicita una habilitación transitoria de comercio bajo el rubro “ GOMERIA ”, en el inmueble ubicado en calle Larrea Nº 1776, de la ciudad de Brandsen, identificado catastralmente como: Circ. I – Sección B – MZ 74 – Parcela 4 y, correspondiente a la Partida Nº 22517, y; ... […] ARTICULO 1º.- Otorgase a De Franco Ruben R",2024-08-02,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11008/contents/2084027,Bahia Blanca,Resolución Nº945 en el boletín 343º de Bahia Blanca,,29/07/2024,,,volumen_alto,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/11008/contents/2084027,"de GOMERÍA , en el domicilio de la calle RÍO NEGRO Nº 602 de la Localidad de Bahía Blanca, y; CONSIDERANDO Que la solicitud de Habilitación ha sido interpuesta con fecha 13 de Septiembre del 2005, conforme ... […] GOMERÍA , en el domicilio de la calle RÍO NEGRO Nº 602 de la ciudad de Bahía Blanca. ARTICULO 2º)- Expídase Certificado de Habilitación Nº 335/2024 a nombre de BROOKES GUSTAVO NORBERTO HERNAN, Contribuyente ...",2024-07-29,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11008/contents/2083510,Bahia Blanca,Resolución Nº233 en el boletín 343º de Bahia Blanca,,29/07/2024,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/11008/contents/2083510,", distanciándome de ellos, me aparto hacia la banquina y al ca B o de unos metros me sorprende un salto del coche, a raíz de lo cual se malogra el tren delantero, las dos cubiertas, llantas y amortiguación trasera ...",2024-07-29,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/10838/contents/2071046,Saladillo,Decreto Nº1036/2024 en el boletín 105º de Saladillo,,26/07/2024,,,volumen_alto,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/10838/contents/2071046,"; La firma Cetaro Cecilia Nora, cotiza el ítem 2 por la suma de $ 6.734.000,00; La firma Nueva Gomería Palermo S.R.L., cotiza el ítem 2 por la suma de $ 6.521.554,00 ... […] , por lo que aconseja adjudicar dicho ítem a la firma Nueva Gomería Palermo S.R.L., ya que ésta cumple con todas las especificaciones técnica solicitadas, y es de monto inferior en relación al resto de los oferentes ... […] municipal, esto es, el ítem 1 a la firma Atarusis S.A., y el ítem 2 a la firma Nueva Gomería Palermo S.R.L., siempre considerándose que resultan ser las más convenientes a los intereses municipales ...",2024-07-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/10838/contents/2084610,Saladillo,Decreto Nº1074/2024 en el boletín 105º de Saladillo,,26/07/2024,,adjudicada,volumen_alto,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/10838/contents/2084610,", 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, y 14 por la suma total de $ 15.872.000,00; La firma Nuevas Gomerías Palermo S.R.L., cotiza los ítems 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, y 14 por la suma total de $ 12.622.768 ... […] , mientras que Nueva Gomería Palermo, lo hace en los ítems 2, 3, 8, 9, 10, 12, y 14; cumplimentando ambas firmas con la calidad y características señaladas en el Pliego ... […] , y 14 a la firma Nueva Gomería Palermo S.R.L.; QUE, cabe destacar, que con respecto a los ítems 4, 7, y 10, al tratarse de oferta única, su adjudicación debe aprobarse ...",2024-07-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/11001/contents/2085006,General Villegas,Ordenanza Nº6575/24 en el boletín 158º de General Villegas,,26/07/2024,,,volumen_alto,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/11001/contents/2085006,"Públicos de Emilio V. Bunge Ltda., ofreciendo en donación siete (7) cámaras para cubrir los accesos a la localidad y puntos neurálgicos; y CONSIDERANDO ... […] 4J070DCPAJ01D36 Cámara Fija (Camino de Luan y vías ... […] 20140508 Cámara Fija (Camino de Luan y San Genaro ...",2024-07-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/10987/contents/2082714,Campana,Decreto Nº526/24 en el boletín 351º de Campana,,23/07/2024,,,objetivo,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/10987/contents/2082714,", PLANCHADA BASCULANTE DE 4X1.90 MTS CAPACIDAD DE CARGA 5 TN, SISTEMA BALANCIN – LLANTAS 650X16 Y CUBIERTAS, CON RUEDA DE AUXILIO en el marco de lo normado por el art. 156º inc.) 10 del Decreto – Ley Nº 6769/58 (Ley Orgánica ... […] El Decreto-Ley Nº 6769/58 (Ley Orgánica de las Municipalidades) (t.v.), el Reglamento de Contabilidad y Disposiciones de Administración para las Municipalidades de la Provincia de Buenos Aires, la Ordenanza Nº 6613 promulgada por el Decreto Nº 537 ... […] Expediente Municipal N° 4016-6791-2024 “Adquisición de Tráiler ...",2024-07-23,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/10933/contents/2079463,Chacabuco,Ordenanza Nº10105 en el boletín 82º de Chacabuco,,19/07/2024,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/10933/contents/2079463,".- -Que, consta de tres actos, con tres escenas cada uno cuya dinámica va del drama a la comedia, con una organización que depende de los lugares a los que va la mente del personaje, entre el llanto , la bronca y la risa ... […] ARTÍCULO 1º: Declárese de interés Legislativo la obra “ Imposible escribir una línea completa ” que se llevara a cabo el sábado 11 de mayo ...",2024-07-19,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/10859/contents/2077277,Quilmes,Decreto Nº1861/2024 en el boletín 506º de Quilmes,,17/07/2024,,,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/10859/contents/2077277,": Expediente: 4091-11131-F-2013.­ Titular: Fernández, Guillermo Martín. - Rubro: Taller de reparación de frenos, afinación y carburación, dirección y, transmisión y venta de baterías ...",2024-07-17,2026-09-01,2026-09-01
